Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vll ab mean,Vll bc mean,Vll ca mean,I a mean,I b mean,I c mean,Vll avg mean,I avg mean
30-01-2023 0:15:00000,588.432373,8.493903,0.000000,23.640238,22977.174,23051.955,23018.609,59.751259,59.264584,58.865948,23015.914,59.293964
30-01-2023 0:30:00000,588.535950,10.623261,0.000000,17.577509,22990.611,23059.264,23023.902,59.611511,59.272579,58.842964,23024.590,59.242340
30-01-2023 0:45:00000,588.535217,9.586411,0.000000,19.135090,22991.973,23060.275,23021.730,59.580101,59.282173,58.893181,23024.666,59.251823
30-01-2023 1:00:00000,424.931335,8.924521,0.000000,23.584400,22989.887,23058.053,23022.143,43.059849,42.955772,42.940586,23023.359,42.985416
30-01-2023 1:15:00000,559.055420,13.179505,0.000000,15.688360,22996.043,23062.275,23024.223,56.594006,56.281925,56.029121,23027.486,56.301632
30-01-2023 1:30:00000,578.617126,24.888607,0.000000,1.848424,23154.539,23217.100,23177.785,58.115646,57.965202,57.449615,23183.146,57.843552
30-01-2023 1:45:00000,578.635376,29.948483,0.000000,0.766250,23150.756,23213.979,23174.561,58.146133,58.004784,57.456112,23179.760,57.868961
30-01-2023 2:00:00000,578.602722,27.943420,0.000000,1.040290,23166.408,23228.965,23188.479,58.084023,57.956192,57.430977,23194.633,57.823765
30-01-2023 2:15:00000,578.722595,25.523600,0.000000,1.391019,23155.326,23218.713,23179.654,58.137642,57.976410,57.444244,23184.566,57.852821
30-01-2023 2:30:00000,578.680359,33.091045,0.000000,0.107085,23157.264,23219.971,23182.559,58.160259,58.022221,57.421741,23186.602,57.868126
